Name,Height,Weight
Ian_Boylan,1.9812,97977.6
Ian_Clark_(basketball),1.905,78472.8
Ian_Davies_(basketball),1.9812,87998.4
Ian_Hummer,2.0066,102060.0
Ian_Mahinmi,2.1082,113400.0
Ian_McGinnis,2.032,111132.0
Ian_Miller_(basketball),1.905,89812.8
Ian_O'Boyle,1.905,90720.0
Ian_O'Leary,2.0066,99792.0
Ian_Sangalang,2.032,97977.6
Ian_Vougioukas,2.1082,127008.0
Ibrahim_Jaaber,1.8796,79380.0
Ibrahima_Thomas,2.1082,106596.0
Ido_Kozikaro,2.032,117936.0
Idong_Ibok,2.1082,117936.0
Ieva_Kubliņa,1.9304,84823.2
Igor_Bijelić,2.032,104328.0
Igor_Mijajlović,1.92,80000.0
Igor_Milošević,1.9304,92988.0
Igor_Penov,2.02,92988.0
Igor_Rakočević,1.9304,86184.0
Igor_Tratnik,2.08,98000.0
Igors_Miglinieks,1.94,96000.0
Ike_Azotam,2.0066,108410.4
Ike_Borsavage,2.032,99792.0
Ike_Diogu,2.0574,115668.0
Ike_Nwankwo,2.1082,116756.64
Ike_Ofoegbu,2.05105,101606.4
Iker_Iturbe,1.98,101000.0
Ilia_Londaridze,2.0574,87091.2
Ilian_Evtimov,2.0066,97524.0
Ilimane_Diop,2.1082,104328.0
Ilir_Selmani,1.89738,90266.4
Ilisha_Jarret,1.9558,86637.6
Ilona_Korstin,1.8288,78926.4
Iman_Shumpert,1.9558,99792.0
Iman_Zandi,1.8796,88452.0
Ime_Udoka,1.9812,97524.0
Immanuel_McElroy,1.9431,95256.0
Indrek_Kajupank,2.0066,97977.6
Indrek_Visnapuu,1.8542,83008.8
Inga_Orekhova,1.8796,72576.0
Ingus_Jakovičs,1.8542,81648.0
Ioannis_Athanasoulas,2.0193,106596.0
Ioannis_Athinaiou,1.9431,96163.2
Ioannis_Bourousis,2.1336,122472.0
Ioannis_Chatzinikolas,1.9558,84823.2
Ioannis_Gagaloudis,1.92405,86184.0
Ioannis_Georgallis,2.00025,104328.0
Ioannis_Karamalegkos,1.92405,92988.0
Ioannis_Karathanasis,2.032,102060.0
Ioannis_Papapetrou,2.0574,105688.8
Ira_Bowman,1.9558,88452.0
Ira_Harge,2.0574,102060.0
Ira_Newble,2.0066,106596.0
Ira_Terrell,2.032,90720.0
Šime_Špralja,2.0574,106142.4
Žiga_Dimec,2.11,113000.0
Žiga_Zatežič,1.96,86000.0
Irv_Bemoras,1.905,83916.0
Irving_Terjesen,1.905,88452.0
Isaac_Austin,2.0827999999999998,122472.0
Isaac_Butts,2.0827999999999998,133812.0
Isaac_Fontaine,1.9304,95256.0
Isaac_Fotu,2.032,104328.0
Isaac_Hamilton,1.9304,83916.0
Isaac_Holstein,2.0574,95256.0
Isaac_Spencer,1.9812,97524.0
Isaac_Stallworth,1.9558,86184.0
Isaac_Walthour,1.8034,73936.8
