Name,Height,Weight,BirthDate
Ian_Boylan,1.9812,97977.6,1983-05-06
Ian_Clark_(basketball),1.905,78472.8,1991-03-07
Ian_Davies_(basketball),1.9812,87998.4,1956-01-29
Ian_Hummer,2.0066,102060.0,1990-08-23
Ian_Mahinmi,2.1082,113400.0,1986-11-05
Ian_McGinnis,2.032,111132.0,1978-09-27
Ian_Miller_(basketball),1.905,89812.8,1991-09-28
Ian_O'Boyle,1.905,90720.0,1984-03-06
Ian_O'Leary,2.0066,99792.0,1986-10-20
Ian_Sangalang,2.032,97977.6,1991-12-20
Ian_Vougioukas,2.1082,127008.0,1985-05-31
Ibrahim_Jaaber,1.8796,79380.0,1984-02-03
Ibrahima_Thomas,2.1082,106596.0,1987-02-07
Ido_Kozikaro,2.032,117936.0,1978-01-08
Idong_Ibok,2.1082,117936.0,1985-02-17
Ieva_Kubliņa,1.9304,84823.2,1982-07-08
Igor_Bijelić,2.032,104328.0,1988-09-09
Igor_Mijajlović,1.92,80000.0,1984-07-03
Igor_Milošević,1.9304,92988.0,1986-04-14
Igor_Penov,2.02,92988.0,1984-10-05
Igor_Rakočević,1.9304,86184.0,1978-03-29
Igor_Tratnik,2.08,98000.0,1989-06-14
Igors_Miglinieks,1.94,96000.0,1964-05-04
Ike_Azotam,2.0066,108410.4,1991-01-14
Ike_Borsavage,2.032,99792.0,1924-07-25
Ike_Diogu,2.0574,115668.0,1983-09-11
Ike_Nwankwo,2.1082,116756.64,1973-12-27
Ike_Ofoegbu,2.05105,101606.4,1984-11-09
Iker_Iturbe,1.98,101000.0,1976-07-10
Ilia_Londaridze,2.0574,87091.2,1989-09-15
Ilian_Evtimov,2.0066,97524.0,1983-04-28
Ilimane_Diop,2.1082,104328.0,1995-04-04
Ilir_Selmani,1.89738,90266.4,1978-01-09
Ilisha_Jarret,1.9558,86637.6,1977-01-08
Ilona_Korstin,1.8288,78926.4,1980-05-30
Iman_Shumpert,1.9558,99792.0,1990-06-26
Iman_Zandi,1.8796,88452.0,['1981-09-17', '1981-09-19']
Ime_Udoka,1.9812,97524.0,1977-08-09
Immanuel_McElroy,1.9431,95256.0,1980-03-25
Indrek_Kajupank,2.0066,97977.6,1988-05-15
Indrek_Visnapuu,1.8542,83008.8,1976-05-04
Inga_Orekhova,1.8796,72576.0,1989-11-10
Ingus_Jakovičs,1.8542,81648.0,1993-04-18
Ioannis_Athanasoulas,2.0193,106596.0,1987-01-21
Ioannis_Athinaiou,1.9431,96163.2,1988-05-27
Ioannis_Bourousis,2.1336,122472.0,1983-11-17
Ioannis_Chatzinikolas,1.9558,84823.2,['1995-10-07', '1996-09-13']
Ioannis_Gagaloudis,1.92405,86184.0,1978-08-22
