Name,Height,Weight
Ian_Schaffa,1.73,70400.0
Ibrahim_Balla,1.73,56000.0
Igor_Alborov,1.83,91000.0
Igor_Maksymenko,1.84,74000.0
Igor_Samoilenco,1.63,51000.0
Ilya_Grad,1.92,75000.0
Ionuț_Gheorghe,1.73,64000.0
István_Kovács_(boxer),1.7,57000.0
Ivan_Stanić,1.91,91000.0
Ivan_Strugar,1.87,88000.0
Izu_Ugonoh,1.8288,106142.4
Vahdettin_İşsever,1.69,60000.0
Valdrin_Vatnikaj,1.7,63000.0
Valeriy_Sydorenko,1.62,48000.0
Vasily_Shish,1.8,70000.0
Viacheslav_Datsik,1.8542,107503.2
Vichairachanon_Khadpo,1.63,51000.0
Victor_Hugo_Castro,1.7,63000.0
Victor_Ramos_(boxer),1.68,60000.0
Vikas_Krishan_Yadav,1.77,60000.0
Viktor_Polyakov,1.8,69000.0
Vilmos_Balog,1.8,69000.0
Violito_Payla,1.62,51000.0
Virgil_Kalakoda,1.78,70000.0
Vitali_Akhramenko,1.9,97000.0
Vitaly_Gurkov,1.86,70000.0
Vladimír_Moravčík,1.86,77000.0
Vladislav_Neiman,1.67,51000.0
Volodymyr_Kravets,1.63,60000.0
Vugar_Alakbarov,1.78,91000.0
Vuyisile_Colossa,1.78,70000.0
Eddie_Valenzuela,1.524,51000.0
Eduard_Mammadov,1.7,70000.0
Edwin_Cassiani,1.82,64000.0
Elchin_Alizade,1.9,91000.0
Elias_Pavlidis,1.81,91000.0
Elias_Recaido,1.63,51000.0
Elshod_Rasulov,1.8,75000.0
Elvin_Ayala,1.524,72576.0
Elvin_Mamishzada,1.6,52000.0
Emilio_Correa_(boxer_born_1953),1.83,67000.0
Endalkachew_Kebede,1.58,48000.0
Enrico_Kölling,1.8034,81000.0
Enriko_Kehl,1.77,72500.0
Erhan_Deniz,1.84,97000.0
Eric_Griffin_(boxer),1.6,48000.0
Erika_Kamimura,1.58,47700.0
Erlandas_Vytė,1.8796,81648.0
Evgeny_Makarenko,1.96,81000.0
Evgeny_Tishchenko,1.96,91000.0
Evhen_Khytrov,1.8,75000.0
Zamig_Athakishiyev,1.82,91000.0
Zane_Frazier,1.98,104300.0
Zoltan_Lunka,1.6,54000.0
Zsolt_Bedák,1.63,56000.0
Luis_Deines_Pérez,1.72,64000.0
Luis_González_(boxer),1.79,81000.0
Luis_Yáñez,1.6002,48988.8
Luke_Jackson_(boxer),1.69,60000.0
Luís_Reis,1.8,73000.0
La_Paene_Masara,1.6,48000.0
Laishram_Sarita_Devi,1.68,60000.0
Larry_Mosley,1.75,67132.8
Lars_Myrberg,1.75,63000.0
Laudelino_Barros,1.82,81000.0
Lauren_Price,1.67,70000.0
