Name,Height,Weight,BirthDate
Ian_Schaffa,1.73,70400.0,1978-01-23
Ibrahim_Balla,1.73,56000.0,1990-10-01
Igor_Alborov,1.83,91000.0,1982-11-30
Igor_Maksymenko,1.84,74000.0,1984-09-06
Igor_Samoilenco,1.63,51000.0,1977-04-17
Ilya_Grad,1.92,75000.0,1987-06-22
Ionuț_Gheorghe,1.73,64000.0,1984-02-29
István_Kovács_(boxer),1.7,57000.0,1970-08-17
Ivan_Stanić,1.91,91000.0,['1983-05-18', '1983-05-28']
Ivan_Strugar,1.87,88000.0,['1974-12-16', '1974-12-18']
Izu_Ugonoh,1.8288,106142.4,1986-11-02
Vahdettin_İşsever,1.69,60000.0,1968-08-07
Valdrin_Vatnikaj,1.7,63000.0,1988-09-28
Valeriy_Sydorenko,1.62,48000.0,1976-09-23
Vasily_Shish,1.8,70000.0,1982-08-07
Vichairachanon_Khadpo,1.63,51000.0,1968-03-03
Victor_Hugo_Castro,1.7,63000.0,1975-07-21
Victor_Ramos_(boxer),1.68,60000.0,1970-04-14
Vikas_Krishan_Yadav,1.77,60000.0,1992-02-10
Viktor_Polyakov,1.8,69000.0,1981-09-29
Vilmos_Balog,1.8,69000.0,1975-02-21
Violito_Payla,1.62,51000.0,1979-01-08
Virgil_Kalakoda,1.78,70000.0,1979-12-24
Vitali_Akhramenko,1.9,97000.0,1977-11-22
Vitaly_Gurkov,1.86,70000.0,1985-03-27
Vladimír_Moravčík,1.86,77000.0,['1980-12-05', '1981-12-05']
Vladislav_Neiman,1.67,51000.0,1966-06-23
Volodymyr_Kravets,1.63,60000.0,1981-05-31
Vugar_Alakbarov,1.78,91000.0,1981-01-05
Vuyisile_Colossa,1.78,70000.0,1982-06-28
Eddie_Valenzuela,1.524,51000.0,1982-12-22
Eduard_Mammadov,1.7,70000.0,1978-01-02
Edwin_Cassiani,1.82,64000.0,1972-10-28
Elchin_Alizade,1.9,91000.0,1986-01-02
Elias_Pavlidis,1.81,91000.0,1978-05-04
Elias_Recaido,1.63,51000.0,1970-05-15
Elshod_Rasulov,1.8,75000.0,1986-03-07
Elvin_Ayala,1.524,72576.0,1981-01-15
Elvin_Mamishzada,1.6,52000.0,1991-12-17
Emilio_Correa_(boxer_born_1953),1.83,67000.0,1953-03-21
Endalkachew_Kebede,1.58,48000.0,1980-08-17
Enrico_Kölling,1.8034,81000.0,1990-02-27
Enriko_Kehl,1.77,72500.0,1992-02-19
Erhan_Deniz,1.84,97000.0,1985-07-28
Eric_Griffin_(boxer),1.6,48000.0,1967-11-03
Erika_Kamimura,1.58,47700.0,1992-12-30
Erlandas_Vytė,1.8796,81648.0,1995-07-23
Evgeny_Makarenko,1.96,81000.0,1975-10-10
Evgeny_Tishchenko,1.96,91000.0,1991-07-15
Evhen_Khytrov,1.8,75000.0,1988-08-18
Zamig_Athakishiyev,1.82,91000.0,1986-06-28
Zane_Frazier,1.98,104300.0,1966-07-16
Zoltan_Lunka,1.6,54000.0,1970-05-22
Zsolt_Bedák,1.63,56000.0,1983-09-26
Luis_Deines_Pérez,1.72,64000.0,1973-03-29
Luis_González_(boxer),1.79,81000.0,1984-08-06
Luis_Yáñez,1.6002,48988.8,1988-10-25
Luke_Jackson_(boxer),1.69,60000.0,1985-01-01
Luís_Reis,1.8,73000.0,1980-10-01
La_Paene_Masara,1.6,48000.0,1973-11-10
Laishram_Sarita_Devi,1.68,60000.0,1985-03-01
Larry_Mosley,1.75,67132.8,1979-12-26
Lars_Myrberg,1.75,63000.0,1964-11-23
Laudelino_Barros,1.82,81000.0,1975-06-29
Lauren_Price,1.67,70000.0,1994-06-25
Lechedzani_Luza,1.69,51000.0,1978-12-20
Lee_Ok-sung,1.72,51000.0,1981-02-07
Lee_Su-hwan_(kickboxer),1.8,69500.0,1983-01-26
Lee_Sung-hyun,1.73,64700.0,1991-01-10
Lee_Trautsch,1.77,65000.0,1971-01-28
Lena_Ovchynnikova,1.67,56700.0,1987-04-22
Lena_Åkesson,1.524,58968.0,1967-08-10
Lernik_Papyan,1.62,51000.0,1966-10-26
Leroy_Kaestner,1.75,69000.0,1988-09-28
Leszek_Błażyński,1.65,50000.0,1949-03-05
Li_Yang_(boxer),1.65,57000.0,1982-02-19
Liam_Harrison_(kickboxer),1.72,63000.0,1985-10-05
Liborio_Romero,1.59,48000.0,1979-07-23
Lim_Chi-bin,1.75,70000.0,1979-10-09
Lim_Su-jeong_(kickboxer),1.66,57000.0,1985-10-17
Liu_Yuan_(boxer),1.74,54000.0,1979-11-03
Lloyd_van_Dams,1.86,120500.0,1972-03-05
Loni_Uhila,1.8,125000.0,1989-04-07
Lorena_Klijn,1.6,50000.0,1987-09-20
Lorenzo_Aragón,1.63,69000.0,1974-04-28
Lorenzo_Javier_Jorge,1.84,95000.0,1984-07-02
Lucas_Browne,1.8288,115668.0,1979-04-14
Lucian_Danilencu,1.85,100000.0,['1982-08-30', '1985-08-30']
Satish_Kumar_(boxer),1.88,91000.0,1989-05-04
Satoshi_Shimizu,1.79,56000.0,1986-03-13
Schiller_Hyppolite,0.0,76204.8,1986-05-23
Sebastian_Ciobanu,1.88,98000.0,1985-03-17
Sebastian_Köber,1.92,102000.0,1979-05-28
Selim_Palyani,1.74,60000.0,1976-04-05
Selçuk_Eker,1.63,52000.0,1991-12-18
Serafim_Todorov,1.78,60000.0,1969-07-06
Sergey_Kazakov,1.68,48000.0,1976-07-08
Sergey_Mihaylov,1.87,91000.0,1976-03-05
Serhiy_Danylchenko,1.62,54000.0,1974-04-27
Serhiy_Derevianchenko,1.75,75000.0,1985-10-31
Serhiy_Horodnichov,1.76,71000.0,1970-01-31
Serhiy_Kovhanko,1.63,51000.0,1974-03-23
Serik_Sapiyev,1.79,64000.0,1983-11-16
Serik_Yeleuov,1.69,60000.0,1980-12-15
Serkan_Yılmaz,1.8,70000.0,1975-05-21
Shahin_Imranov,1.7,57000.0,1980-09-23
Shane_Chapman,1.81,78000.0,1978-04-07
Shane_Heaps,1.8,67000.0,1971-04-28
Shawn_Terry_Cox,1.84,81000.0,1974-12-26
Shawn_Tompkins,1.778,83916.0,1974-03-16
Shekie_Kongo,1.47,48000.0,1949-06-13
Shemsi_Beqiri,1.75,70000.0,1986-05-03
Sherzod_Abdurahmonov,1.78,73000.0,1982-01-12
Sherzod_Husanov,1.8,69000.0,1980-01-27
Shohrat_Kurbanov,1.76,81000.0,1971-03-27
Shondell_Alfred,1.524,52617.6,1982-07-07
Siegfried_Mehnert,1.72,68000.0,1963-03-03
Singh_Jaideep,1.96,109000.0,1987-08-21
Soltan_Migitinov,1.75,75000.0,1988-09-17
Somluck_Kamsing,1.75,57000.0,1973-01-16
Somrot_Kamsing,1.55,48000.0,1971-09-24
Soren_Monkongtong,1.8,72000.0,1980-05-31
Souleimane_Konaté,1.91,102967.2,1984-02-04
Stanislav_Stepashkin,1.63,57000.0,1940-09-01
Stefan_Ström,1.7,48000.0,1977-12-13
Stephane_Jamoye,1.6764000000000001,52164.0,['1989-10-05', '2989-10-05']
Stephen_Sutherland,1.79,56000.0,1990-08-19
Steve_Moxon,1.69,70000.0,1987-11-09
Steve_Shepherd,1.8542,72576.0,1950-10-10
Steve_Wakeling,1.85,84000.0,1983-10-04
Sabin_Bornei,1.61,48000.0,1975-01-05
Sam_Crossed,1.8288,90720.0,1987-03-26
Sami_Khelifi,1.73,63000.0,1974-01-01
Samir_El-Mais,1.85,91000.0,1980-09-10
Samuel_Maxwell_(boxer),1.8,64000.0,1988-10-17
Sanny_Dahlbeck,1.78,70000.0,1991-05-12
Suban_Pannon,1.62,48000.0,1978-05-10
Suleiman_Bilali,1.54,48000.0,1978-06-05
Sulem_Urbina,1.6256,50803.2,1990-07-08
Sulemanu_Tetteh,1.67,49000.0,1992-08-18
