Name,Height,Weight
Iain_Fraser_(ice_hockey),1.778,83462.4
Ian_Cole,1.8796,98884.8
Ian_Cooper_(ice_hockey),1.8288,90266.4
Ian_Cushenan,1.8796,84823.2
Ian_Forbes_(ice_hockey),2.032,115668.0
Ian_Gordon_(ice_hockey),1.778,77112.0
Ian_Herbers,1.9304,102060.0
Ian_Keserich,1.8796,90720.0
Ian_Laperrière,1.8542,90720.0
Ian_MacNeil_(ice_hockey),1.8796,83916.0
Ian_McCoshen,1.905,98884.8
Ian_McKegney,1.8034,74844.0
Ian_McKenzie_(ice_hockey),1.9558,107049.6
Ian_Moran,1.8288,90720.0
Ian_O'Connor_(ice_hockey),1.8288,92080.8
Ian_Schultz,1.8796,83916.0
Ian_Turnbull_(ice_hockey),1.8288,90720.0
Ian_Vigier,1.7526,83916.0
Ian_White_(ice_hockey),1.778,83916.0
Ian_Wilkie,1.7526,72576.0
Ignat_Zemchenko,1.8796,83916.0
Igor_Baček,1.8288,79833.6
Igor_Beribak,1.7526,79833.6
Igor_Bobkov,1.9812,87091.2
Igor_Bobček,1.905,92080.8
Igor_Boldin,1.778,84823.2
Igor_Bortnikov,1.8288,81194.4
Igor_Chibirev,1.8288,81648.0
Igor_Dorofeyev,1.778,83916.0
Igor_Dorokhin,1.8034,83916.0
Igor_Golovkov,1.905,92988.0
Igor_Gongalsky,1.8288,102060.0
Igor_Grigorenko,1.778,94802.4
Igor_Ignatushkin,1.8288,87091.2
Igor_Karpenko,1.7272,84823.2
Igor_Knyazev,1.8288,83916.0
Igor_Korolev,1.8542,89812.8
Igor_Kravchuk,1.8542,98884.8
Igor_Kuznetsov_(ice_hockey),1.778,76204.8
Igor_Larionov,1.7526,77112.0
Igor_Lazić_(ice_hockey),1.9558,103874.4
Igor_Levitsky,1.8288,79833.6
Igor_Liba,1.8288,87091.2
Igor_Magogin,1.7018,83008.8
Igor_Makarov_(ice_hockey),1.8542,88452.0
Igor_Melyakov,1.8034,89812.8
Igor_Mirnov,1.8542,92988.0
Igor_Misko,1.8288,85730.4
Igor_Musatov,1.8796,82101.6
Igor_Nikulin_(ice_hockey),1.8542,81648.0
Igor_Ozhiganov,1.8796,97070.4
Igor_Radulov,1.8542,88452.0
Igor_Rudenkov,1.8034,87998.4
Igor_Saprykin,1.8288,72122.4
Igor_Shadilov,1.8796,92080.8
Igor_Shestyorkin,1.8288,83008.8
Igor_Skorokhodov,1.778,77112.0
Igor_Slyusar,1.778,69854.4
Igor_Stelnov,1.8288,93895.2
Igor_Ulanov,1.905,99792.0
Igor_Ustinsky,1.778,89812.8
Igor_Valeev,1.8288,96163.2
Igor_Varitsky,1.7272,81194.4
Igor_Velichkin,1.8542,84823.2
Igor_Volkov,1.8288,89812.8
Igor_Vyazmikin,1.8542,86184.0
Igor_Yakovlev,1.8034,79833.6
Igor_Yemeleyev,1.8034,88905.6
Igors_Bondarevs,1.8288,86184.0
Igors_Pavlovs,1.778,83916.0
Iiro_Pakarinen,1.8542,97977.6
Iiro_Sopanen,1.905,94802.4
Iiro_Tarkki,1.8796,87091.2
Ike_Hildebrand,1.7018,66679.2
Ilari_Filppula,1.8288,86184.0
Ilari_Melart,1.905,102967.2
Ilari_Metsola,1.8288,79833.6
Ildar_Isangulov,1.8796,102967.2
Ildar_Valeyev,1.8796,87998.4
Ildar_Yubin,1.778,87998.4
Ilkka_Heikkinen,1.8796,90720.0
Ilkka_Mikkola,1.8034,88905.6
Ilkka_Pikkarainen,1.8796,97524.0
Ilkka_Sinisalo,1.8288,86184.0
Ilmari_Pitkänen,1.8288,87091.2
Ilshat_Bilalov,1.8288,82101.6
Ilya_Antonovsky,1.8796,87998.4
Ilya_Bryzgalov,1.905,94802.4
Ilya_Byakin,1.778,82555.2
Ilya_Davydov,1.8288,89812.8
Ilya_Dervuk,1.8288,77112.0
Ilya_Dubkov,1.8796,85730.4
Ilya_Ezhov,1.8796,84823.2
Ilya_Fedin,1.8542,96163.2
Ilya_Gorokhov,1.8034,87091.2
Ilya_Kablukov,1.905,87091.2
Ilya_Kaznadey,1.8034,93895.2
Ilya_Korenev,1.8288,78926.4
Ilya_Kovalchuk,1.905,104328.0
Ilya_Krikunov,1.778,73029.6
Ilya_Lyubushkin,1.8796,77112.0
Ilya_Malyushkin,1.778,84823.2
Ilya_Musin_(ice_hockey),1.8542,86184.0
Ilya_Nekolenko,1.905,89812.8
Ilya_Nikulin,1.905,95709.6
Ilya_Proskuryakov,1.8034,79833.6
Ilya_Samsonov,1.9304,92080.8
Ilya_Shinkevich,1.8796,86184.0
Ilya_Solaryov,1.905,89812.8
Ilya_Sorokin,1.8796,76204.8
Ilya_Yamkin,1.8034,92080.8
Ilya_Zubov,1.8288,90720.0
Imre_Peterdi,1.778,70761.6
Inge_Hammarström,1.8288,82555.2
Inna_Dyubanok,1.6764000000000001,72122.4
Inti_Pestoni,1.7272,78926.4
Ioan_Gheorghiu,1.7526,66225.6
Irina_Gashennikova,1.651,66225.6
Ģirts_Ankipāns,1.8542,97977.6
Ņikita_Koļesņikovs,1.9304,102060.0
Šimon_Hrubec,1.8288,76204.8
Žiga_Jeglič,1.8542,79833.6
Žiga_Pance,1.8542,88905.6
Žiga_Pavlin,1.9304,97070.4
Žiga_Svete,1.8034,83916.0
Žigmund_Pálffy,1.778,81648.0
Irv_Frew,1.778,81648.0
Irv_McGibbon,1.8288,81648.0
Isabelle_Jordansson,1.6764000000000001,67132.8
Isak_Ahrling,1.8034,82101.6
Ismo_Lehkonen,1.8034,76204.8
István_Sofron,1.8796,87998.4
Itan_Chavira,1.7272,76658.4
Ivan_Ageyev,1.778,73029.6
Ivan_Baranka,1.8796,92080.8
Ivan_Barbashev,1.8288,83916.0
Ivan_Boldirev,1.8288,86184.0
Ivan_Dornič,1.8288,91173.6
Ivan_Fedotov,1.9812,87091.2
Ivan_Fischenko,1.8796,91173.6
Ivan_Gavrilenko,1.8288,79833.6
Ivan_Hlinka,1.8796,99792.0
Ivan_Huml,1.8796,91627.2
Ivan_Irwin,1.8542,81648.0
Ivan_Kasutin,1.8288,83008.8
Ivan_Khomutov,1.905,92988.0
Ivan_Lekomtsev,1.8034,74844.0
Ivan_Lisutin,1.8796,97977.6
Ivan_Majeský,1.9558,106142.4
Ivan_McLelland,1.7272,72576.0
Ivan_Mitchell,1.8288,81648.0
Ivan_Nalimov,1.9304,97070.4
Ivan_Nepryaev,1.8796,84823.2
Ivan_Novoseltsev,1.8288,83008.8
Ivan_Provorov,1.8288,91173.6
Ivan_Rachůnek,1.7526,79833.6
Ivan_Savin,1.8288,78926.4
Ivan_Silayev_(ice_hockey),1.7272,81194.4
Ivan_Telegin,1.905,89812.8
Ivan_Teterin,1.778,92988.0
Ivan_Tkachenko_(ice_hockey),1.8034,84823.2
Ivan_Usenko,1.8288,92080.8
Ivan_Vishnevskiy_(ice_hockey),1.8034,79833.6
Ivan_Čiernik,1.8542,100699.2
Ivan_Ďatelinka,1.9558,99792.0
Ivan_Švarný,1.8796,94802.4
Ivan_Ščap,1.778,78019.2
Ivars_Punnenovs,1.8542,84823.2
Iveta_Karafiátová,1.7272,66225.6
Ivo_Jan_(ice_hockey_b._1942),1.7018,68040.0
Ivo_Kotaška,1.8034,84823.2
Ivo_Rüthemann,1.7272,78926.4
Vadim_Epanchintsev,1.8034,92080.8
Vadim_Glovatsky,1.7399,88905.6
Vadim_Khlopotov,1.8288,83008.8
Vadim_Khomitsky,1.8796,92988.0
Vadim_Krasnoslobodtsev,1.8796,92080.8
Vadim_Mitryakov,1.7272,76204.8
Vadim_Rifel,1.8288,79833.6
Vadim_Sharifijanov,1.778,92988.0
Vadim_Shipachyov,1.8542,83008.8
Vadim_Slivchenko,1.778,86184.0
Vadim_Sushko,1.778,91173.6
Vadim_Tarasov,1.8288,83916.0
Vadim_Zhelobnyuk,1.8288,91627.2
Val_Delory,1.778,72576.0
Val_Fonteyne,1.778,72576.0
Val_James,1.8796,92988.0
Valdemar_Jiruš,1.905,95709.6
Valentin_Milyukov,1.905,89812.8
Valentin_Morozov,1.7526,79380.0
Valentin_Pyanov,1.8288,73029.6
Valentin_Wirz,1.8288,89812.8
Valentin_Zykov,1.8288,93895.2
Valentina_Bettarini,1.7018,66225.6
Valentina_Wallner,1.7018,64864.8
Valeri_Bragin,1.778,78019.2
Valeri_Bure,1.778,82101.6
Valeri_Dydykin,1.8288,84823.2
Valeri_Kamensky,1.8542,88905.6
