Name,Height,Weight,BirthDate
Iain_Fraser_(ice_hockey),1.778,83462.4,1969-08-10
Ian_Cole,1.8796,98884.8,1989-02-21
Ian_Cooper_(ice_hockey),1.8288,90266.4,1968-11-29
Ian_Cushenan,1.8796,84823.2,1933-11-29
Ian_Forbes_(ice_hockey),2.032,115668.0,1980-08-02
Ian_Gordon_(ice_hockey),1.778,77112.0,1975-05-15
Ian_Herbers,1.9304,102060.0,1967-07-18
Ian_Keserich,1.8796,90720.0,1986-01-06
Ian_Laperrière,1.8542,90720.0,1974-01-19
Ian_MacNeil_(ice_hockey),1.8796,83916.0,1977-04-27
Ian_McCoshen,1.905,98884.8,1995-08-05
Ian_McKegney,1.8034,74844.0,1947-05-07
Ian_McKenzie_(ice_hockey),1.9558,107049.6,1987-05-23
Ian_Moran,1.8288,90720.0,1972-08-24
Ian_O'Connor_(ice_hockey),1.8288,92080.8,1987-06-18
Ian_Schultz,1.8796,83916.0,1990-02-04
Ian_Turnbull_(ice_hockey),1.8288,90720.0,1953-12-22
Ian_Vigier,1.7526,83916.0,1982-11-23
Ian_White_(ice_hockey),1.778,83916.0,1984-06-04
Ian_Wilkie,1.7526,72576.0,1949-07-20
Ignat_Zemchenko,1.8796,83916.0,1992-04-24
Igor_Baček,1.8288,79833.6,1986-01-30
Igor_Beribak,1.7526,79833.6,1954-05-18
Igor_Bobkov,1.9812,87091.2,1991-01-02
Igor_Bobček,1.905,92080.8,1983-10-06
Igor_Boldin,1.778,84823.2,1964-02-02
Igor_Bortnikov,1.8288,81194.4,1989-06-08
Igor_Chibirev,1.8288,81648.0,1968-04-19
Igor_Dorofeyev,1.778,83916.0,1968-08-10
Igor_Dorokhin,1.8034,83916.0,1962-08-15
Igor_Golovkov,1.905,92988.0,1990-05-17
Igor_Gongalsky,1.8288,102060.0,1986-11-05
Igor_Grigorenko,1.778,94802.4,1983-04-09
Igor_Ignatushkin,1.8288,87091.2,1984-04-07
Igor_Karpenko,1.7272,84823.2,1976-07-23
Igor_Knyazev,1.8288,83916.0,['1983-01-23', '1983-01-27']
Igor_Korolev,1.8542,89812.8,1970-09-06
Igor_Kravchuk,1.8542,98884.8,1966-09-13
Igor_Kuznetsov_(ice_hockey),1.778,76204.8,1955-10-19
Igor_Larionov,1.7526,77112.0,1960-12-03
Igor_Lazić_(ice_hockey),1.9558,103874.4,1992-02-14
Igor_Levitsky,1.8288,79833.6,1993-04-08
Igor_Liba,1.8288,87091.2,1960-11-04
Igor_Magogin,1.7018,83008.8,1981-09-16
Igor_Makarov_(ice_hockey),1.8542,88452.0,1987-09-19
Igor_Melyakov,1.8034,89812.8,1976-12-23
Igor_Mirnov,1.8542,92988.0,1984-09-15
Igor_Misko,1.8288,85730.4,1986-07-24
Igor_Musatov,1.8796,82101.6,1987-09-23
Igor_Nikulin_(ice_hockey),1.8542,81648.0,1972-08-26
Igor_Ozhiganov,1.8796,97070.4,1992-10-13
Igor_Radulov,1.8542,88452.0,1982-08-23
Igor_Rudenkov,1.8034,87998.4,1995-03-05
Igor_Saprykin,1.8288,72122.4,1992-01-30
Igor_Shadilov,1.8796,92080.8,1980-06-07
Igor_Shestyorkin,1.8288,83008.8,1995-12-30
Igor_Skorokhodov,1.778,77112.0,1986-05-04
Igor_Slyusar,1.778,69854.4,1989-05-22
Igor_Stelnov,1.8288,93895.2,1963-02-12
Igor_Ulanov,1.905,99792.0,1969-10-01
Igor_Ustinsky,1.778,89812.8,1994-06-14
Igor_Valeev,1.8288,96163.2,1981-01-09
Igor_Varitsky,1.7272,81194.4,1971-04-25
Igor_Velichkin,1.8542,84823.2,1987-07-03
Igor_Volkov,1.8288,89812.8,1983-01-24
Igor_Vyazmikin,1.8542,86184.0,1966-01-08
Igor_Yakovlev,1.8034,79833.6,1991-09-17
Igor_Yemeleyev,1.8034,88905.6,1981-03-07
Igors_Bondarevs,1.8288,86184.0,1974-02-09
Igors_Pavlovs,1.778,83916.0,1965-01-01
Iiro_Pakarinen,1.8542,97977.6,1991-08-25
Iiro_Sopanen,1.905,94802.4,1989-09-20
Iiro_Tarkki,1.8796,87091.2,1985-07-01
Ike_Hildebrand,1.7018,66679.2,1927-05-27
Ilari_Filppula,1.8288,86184.0,1981-11-05
Ilari_Melart,1.905,102967.2,1989-02-11
Ilari_Metsola,1.8288,79833.6,1992-08-16
Ildar_Isangulov,1.8796,102967.2,1992-05-20
Ildar_Valeyev,1.8796,87998.4,1991-11-29
Ildar_Yubin,1.778,87998.4,1974-06-08
Ilkka_Heikkinen,1.8796,90720.0,1984-11-13
Ilkka_Mikkola,1.8034,88905.6,1979-01-18
Ilkka_Pikkarainen,1.8796,97524.0,1981-04-19
Ilkka_Sinisalo,1.8288,86184.0,1958-07-10
Ilmari_Pitkänen,1.8288,87091.2,1990-07-18
Ilshat_Bilalov,1.8288,82101.6,1985-01-15
Ilya_Antonovsky,1.8796,87998.4,1989-03-07
Ilya_Bryzgalov,1.905,94802.4,1980-06-22
Ilya_Byakin,1.778,82555.2,1963-02-02
Ilya_Davydov,1.8288,89812.8,1989-01-25
Ilya_Dervuk,1.8288,77112.0,1996-07-09
Ilya_Dubkov,1.8796,85730.4,['1970-04-28', '1972-02-17']
Ilya_Ezhov,1.8796,84823.2,1987-01-12
Ilya_Fedin,1.8542,96163.2,1989-05-06
Ilya_Gorokhov,1.8034,87091.2,1977-08-23
Ilya_Kablukov,1.905,87091.2,1988-01-18
Ilya_Kaznadey,1.8034,93895.2,1989-06-22
Ilya_Korenev,1.8288,78926.4,1995-02-10
Ilya_Kovalchuk,1.905,104328.0,1983-04-15
Ilya_Krikunov,1.778,73029.6,1984-02-27
Ilya_Lyubushkin,1.8796,77112.0,1994-04-06
Ilya_Malyushkin,1.778,84823.2,1984-01-30
Ilya_Musin_(ice_hockey),1.8542,86184.0,1991-02-03
Ilya_Nekolenko,1.905,89812.8,1993-07-31
Ilya_Nikulin,1.905,95709.6,1982-03-12
Ilya_Proskuryakov,1.8034,79833.6,1987-02-21
Ilya_Samsonov,1.9304,92080.8,1997-02-22
Ilya_Shinkevich,1.8796,86184.0,1989-09-01
