Name,Height,Weight
Iafeta_Paleaaesina,1.85,104000.0
Iain_Balshaw,1.8542,88904.10452
Iain_Fairley,1.524,88904.10452
Iain_Grieve,1.88,104000.0
Iain_Henderson,1.98,115000.0
Iain_Morrison,1.8288,95254.3977
Iain_Sinclair_(rugby_union),1.8034,83000.0
Ian_Botting,1.82,78000.0
Ian_Clark_(rugby_union),1.73,75000.0
Ian_Cross_(rugby_league),1.9,89000.0
Ian_Davey,1.85,94000.0
Ian_Donnelly,1.85,110000.0
Ian_Dowling,1.81,93000.0
Ian_Dunn,1.76,73000.0
Ian_Eliason,1.9,100000.0
Ian_Evans_(rugby_player),2.04,116000.0
Ian_Gough,1.9557999999999998,114305.27724
Ian_Henderson_(rugby_league),1.75,92000.0
Ian_Hindmarsh,1.83,97000.0
Ian_Hirst,1.88,118000.0
Ian_Humphreys,1.8,83000.0
Ian_Hurst,1.8,86000.0
Ian_Irvine_(rugby_union),1.75,84000.0
Ian_Jardine,1.8542,86000.0
Ian_Jones_(rugby_union),1.98,104000.0
Ian_Keatley,1.78,91000.0
Ian_Kirke,1.8288,107954.98406
Ian_Kirkpatrick,1.9,102000.0
Ian_Lacey,1.65,81000.0
Ian_MacRae,1.88,86000.0
Ian_Madigan,1.8,91000.0
Ian_McInroy,1.8,88000.0
Ian_McLauchlan,1.76,92000.0
Ian_Nagle,2.01,114000.0
Ian_Nimmo,2.01,118000.0
Ian_Noble,1.83,92000.0
Ian_Porter_(rugby_union),1.75,84000.0
Ian_Prior_(rugby_union),1.79,83000.0
Ian_Roberts_(rugby_league),1.96,112000.0
Ian_Rubin,1.91,110000.0
Ian_Sibbit,1.9,105000.0
Ian_Smith_(New_Zealand_rugby_player),1.8,82000.0
Ian_Stevens_(rugby_union),1.75,81000.0
Ian_Turner_(rugby_league),1.88,97000.0
Ian_Uttley,1.73,67000.0
Ian_Whitten,1.8796,101604.69088
Ibrahim_Diarra,1.85,98000.0
Iestyn_Harris,1.8288,88904.10452
Iestyn_Thomas,1.85,115000.0
Ieuan_Evans,1.524,82553.81134
Ieuan_Jones,1.9,92000.0
Ifan_Evans,1.78,90000.0
Ifereimi_Boladau,1.91,112000.0
Ifereimi_Rawaqa,1.99,113000.0
Ignacio_Corleto,1.85,85000.0
Ignacio_Elosu,1.73,110000.0
Ignacio_Fernández_Rouyet,1.8,110000.0
Ignacio_Mieres,1.89,92000.0
Ignas_Darkintis,1.83,118000.0
Igor_Galinovskiy,1.8034,87091.2
Igor_Klyuchnikov,1.8796,89812.8
Ihaia_West,1.75,84000.0
Ilaisa_Maʻasi,1.85,96000.0
Ilia_Zedginidze,1.95,109000.0
Iliesa_Keresoni,1.82,90000.0
Iliesa_Tanivula,1.8,100000.0
Iliess_Macani,1.524,88904.10452
Ilisavani_Jegesa,1.76,83000.0
Ilivasi_Tabua,1.9304,105688.8
Imanol_Harinordoquy,1.92,105000.0
Inaki_Basauri,1.9557999999999998,105235.2
Innes_Finlayson,1.88,95000.0
Inoke_Afeaki,1.98,115000.0
Inoke_Male,1.91,103000.0
Inus_Kritzinger,1.78,82000.0
Ioan_Cunningham,1.86,109000.0
Ioan_Nicholas,1.85,100000.0
Ion_Paulică,1.83,119000.0
Ion_Teodorescu,1.75,80000.0
Ionuț_Botezatu,1.8,80000.0
Ionuț_Dimofte,1.86,99000.0
Ionuț_Dumitru,1.77,82000.0
Ionuț_Tofan,1.78,77000.0
Iopu_Iopu-Aso,1.89,105000.0
Iosia_Soliola,1.82,107000.0
Iowane_Divavesi,1.8,101000.0
Ipolito_Fenukitau,1.8796,102967.2
Irakli_Abuseridze,1.74,70000.0
Irakli_Chkhikvadze,1.86,102000.0
Irakli_Natriashvili,1.78,105000.0
Irakli_Svanidze,1.82,82000.0
Isa_Nacewa,1.8,91000.0
Isaac_Boss,1.778,82553.81134
Isaac_De_Gois,1.8,86000.0
Isaac_Fe'aunati,1.89,107000.0
Isaac_Gordon,1.76,84000.0
Isaac_John,1.83,90000.0
Isaac_Liu,1.87,107000.0
Isaac_Ross,2.01,113000.0
Isaah_Yeo,1.95,105000.0
Isaak_Ah_Mau,1.87,106000.0
Isaia_Rasila,1.86,109771.2
Isaia_Toeava,1.81,100000.0
Isaia_Tuifua,1.78,99000.0
Isileli_Tupou,1.81,96000.0
Isitolo_Maka,1.8796,124740.0
Ismaila_Lassissi,1.88,103000.0
Isoa_Domolailai,2.03,120000.0
Isoa_Neivua,1.74,98000.0
Israel_Dagg,1.86,96000.0
Israel_Eliab,1.78,93000.0
Israel_Folau,1.93,103000.0
Issac_Luke,1.74,89000.0
Ita_Vaea,1.87,119000.0
Iulian_Dumitraș,1.905,104781.6
Ivan-John_du_Preez,1.87,94000.0
Ivan_Cleary,1.82,89000.0
Ivan_Dineen,1.85,99000.0
Ivan_Pirkovic,1.79,87000.0
Ivan_Vodanovich,1.83,96000.0
Ivan_van_Zyl,1.78,80000.0
Ivann_Espag,1.9,120000.0
Ivor_Watts,1.55,66000.0
Iwan_Brown,1.93,96000.0
Iwi_Hauraki,1.75,89000.0
Izaia_Perese,1.8,91000.0
Izak_van_der_Westhuizen,1.96,111000.0
Va'aiga_Tuigamala,1.8,110000.0
Vadim_Cobîlaș,1.83,120000.0
Vaea_Anitoni,1.524,77112.0
Vaea_Fifita,1.96,107000.0
Vahafolau_Esikia,1.524,95256.0
Vai_Toutai,1.86,103000.0
Vainon_Willis,1.84,93000.0
Vakhtang_Maisuradze,1.94,113000.0
Val_Rapava-Ruskin,1.91,124000.0
Valentin_Calafeteanu,1.524,76203.51816
Valentin_Courrent,1.75,85000.0
Valentin_Popârlan,1.96,117000.0
Valentin_Ursache,1.9304,112492.8
Valentine_Holmes,1.85,87000.0
Valerio_Bernabò,1.98,112000.0
Van_Humphries,2.03,116000.0
Vance_Stewart,1.91,99000.0
Vasco_Uva,1.87,98000.0
Vasil_Kakovin,1.83,110000.0
Vasil_Lobzhanidze,1.75,75000.0
Vasile_Rus,1.8288,107954.98406
