Name,Height,Weight,BirthDate
Iain_Fairley,1.524,88904.10452,1973-08-29
Iain_Grieve,1.88,104000.0,1987-02-19
Iain_Henderson,1.98,115000.0,1992-02-21
Iain_Morrison,1.8288,95254.3977,1983-05-06
Iain_Sinclair_(rugby_union),1.8034,83000.0,1976-10-07
Ian_Clark_(rugby_union),1.73,75000.0,1992-09-01
Ian_Cross_(rugby_league),1.9,89000.0,1989-09-15
Ian_Davey,1.85,94000.0,1986-11-15
Ian_Dowling,1.81,93000.0,1982-10-05
Ian_Dunn,1.76,73000.0,1960-06-11
Ian_Eliason,1.9,100000.0,1945-06-06
Ian_Evans_(rugby_player),2.04,116000.0,1984-10-04
Ian_Gough,1.9557999999999998,114305.27724,1976-11-10
Ian_Henderson_(rugby_league),1.75,92000.0,1983-04-23
Ian_Hindmarsh,1.83,97000.0,1977-03-31
Ian_Hirst,1.88,118000.0,1989-06-14
Ian_Humphreys,1.8,83000.0,1982-04-24
Ian_Hurst,1.8,86000.0,1951-08-27
Ian_Jardine,1.8542,86000.0,1964-10-20
Ian_Keatley,1.78,91000.0,1987-06-03
Ian_Kirke,1.8288,107954.98406,1981-12-26
Ian_Lacey,1.65,81000.0,1984-11-25
Ian_MacRae,1.88,86000.0,1943-04-06
Ian_Madigan,1.8,91000.0,1989-03-21
Ian_McInroy,1.8,88000.0,1979-02-02
Ian_Nagle,2.01,114000.0,1988-10-17
Ian_Nimmo,2.01,118000.0,1985-07-25
Ian_Noble,1.83,92000.0,1972-04-06
Ian_Porter_(rugby_union),1.75,84000.0,1982-04-04
Ian_Prior_(rugby_union),1.79,83000.0,1990-08-21
Ian_Rubin,1.91,110000.0,1973-04-17
Ian_Smith_(New_Zealand_rugby_player),1.8,82000.0,1941-08-20
Ian_Stevens_(rugby_union),1.75,81000.0,1948-04-13
Ian_Whitten,1.8796,101604.69088,1987-06-05
Ibrahim_Diarra,1.85,98000.0,1983-05-25
Iestyn_Thomas,1.85,115000.0,1976-12-15
Ieuan_Jones,1.9,92000.0,1993-07-22
Ifan_Evans,1.78,90000.0,1983-07-22
Ifereimi_Boladau,1.91,112000.0,1986-09-21
Ifereimi_Rawaqa,1.99,113000.0,1980-09-20
Ignacio_Elosu,1.73,110000.0,1980-10-31
Ignacio_Fernández_Rouyet,1.8,110000.0,1978-10-22
Ignacio_Mieres,1.89,92000.0,1987-04-06
Igor_Galinovskiy,1.8034,87091.2,1985-11-08
Igor_Klyuchnikov,1.8796,89812.8,1983-01-07
Ihaia_West,1.75,84000.0,1992-01-16
Ilaisa_Maʻasi,1.85,96000.0,1982-02-05
Ilia_Zedginidze,1.95,109000.0,1977-01-20
Iliesa_Keresoni,1.82,90000.0,1987-01-27
Iliess_Macani,1.524,88904.10452,1993-09-06
Ilisavani_Jegesa,1.76,83000.0,1988-11-22
Ilivasi_Tabua,1.9304,105688.8,1964-09-30
Inaki_Basauri,1.9557999999999998,105235.2,1984-10-01
Inoke_Male,1.91,103000.0,1963-06-03
Inus_Kritzinger,1.78,82000.0,1989-05-13
Ioan_Cunningham,1.86,109000.0,1983-01-01
Ioan_Nicholas,1.85,100000.0,1998-04-03
Ion_Paulică,1.83,119000.0,1983-01-10
Ion_Teodorescu,1.75,80000.0,1976-07-27
Ionuț_Botezatu,1.8,80000.0,1987-12-12
Ionuț_Dimofte,1.86,99000.0,1984-09-30
Ionuț_Dumitru,1.77,82000.0,1992-11-06
Ionuț_Tofan,1.78,77000.0,1977-03-08
Iopu_Iopu-Aso,1.89,105000.0,1991-04-01
Iowane_Divavesi,1.8,101000.0,1980-07-13
Ipolito_Fenukitau,1.8796,102967.2,1972-07-22
Irakli_Abuseridze,1.74,70000.0,1977-11-25
Irakli_Chkhikvadze,1.86,102000.0,1987-10-05
Irakli_Natriashvili,1.78,105000.0,1984-01-25
Isaac_Fe'aunati,1.89,107000.0,1973-07-23
Isaac_Gordon,1.76,84000.0,1986-10-07
Isaac_John,1.83,90000.0,1988-12-12
Isaac_Liu,1.87,107000.0,1991-04-26
Isaia_Rasila,1.86,109771.2,1969-04-29
Isaia_Tuifua,1.78,99000.0,1987-08-24
Isileli_Tupou,1.81,96000.0,1984-10-26
Ismaila_Lassissi,1.88,103000.0,1969-09-11
Isoa_Domolailai,2.03,120000.0,1981-01-13
Isoa_Neivua,1.74,98000.0,1978-06-07
Israel_Dagg,1.86,96000.0,1988-06-06
Israel_Eliab,1.78,93000.0,1991-01-16
Israel_Folau,1.93,103000.0,1989-04-03
Issac_Luke,1.74,89000.0,1987-05-29
