Name,Height,Weight
Iacopo_Botto,1.91,76000.0
Ian_Taylor_(volleyball),1.95,95000.0
Ibrahim_Mohammed,2.07,90000.0
Ibrahim_Sayed_Abouhamoud,1.78,60000.0
Idner_Martins,1.95,85000.0
Ignacio_Batallan,1.93,97000.0
Ignacio_Bernasconi,1.95,75000.0
Ignacio_Ramírez_(volleyball),1.83,85000.0
Ignacio_Sánchez,1.91,76000.0
Igor_Kobzar,1.98,86000.0
Igor_Naumov,2.0,94000.0
Igor_Omrčen,2.08,95000.0
Igor_Rehák,2.0,85000.0
Igor_Stejskal,1.97,88000.0
Igor_Yudin,1.98,88000.0
Ihosvany_Chambers,1.84,85000.0
Ihosvany_Hernández,2.06,90000.0
Ikumi_Narita,1.73,68000.0
Ildar_Gafarov,1.95,90000.0
Ilia_Vlasov,2.12,98000.0
Ilia_Žilin,1.96,80000.0
Ilka_Semmler,1.83,70000.0
Ilka_Van_de_Vyver,1.79,73000.0
Ilkka_Sammelvuo,1.97,91000.0
Ilyas_Kurkaev,2.07,95000.0
Im_Dong-kyu,1.95,83000.0
Ingrid_Morales,1.7,62000.0
Inna_German,1.82,75000.0
Inna_Matveyeva,1.86,70000.0
Inoslav_Krnić,1.9,89000.0
Inovel_Romero,1.97,80000.0
Inès_Granvorka,1.79,70000.0
Ioannis_Fakas,1.96,85000.0
Ioannis_Kyriakidis,1.95,91000.0
Ioannis_Pantakidis,1.95,80000.0
Ioannis_Takouridis,1.95,80000.0
Iraklis_Doriadis,1.93,93000.0
Irina_Lukomskaya,1.76,66000.0
Irina_Zaryazhko,1.98,75000.0
Šimon_Krajčovič,2.05,94000.0
Irving_Bricio,1.9,83000.0
Irving_Gonzalez,1.85,90000.0
Iryna_Zhukova,1.79,72000.0
Isac_Santos,2.05,84000.0
Isbel_Mesa,2.04,89000.0
Islam_Abdelkader,1.94,85000.0
Ismael_Guerrero,2.04,85000.0
Ismel_Ramos,1.95,78000.0
Israel_Rodríguez_(volleyball),1.95,96000.0
Israel_Vera,1.85,80000.0
Israel_Villalpando,1.92,80000.0
Issei_Maeda,1.81,71000.0
Iuliia_Morozova,1.92,79000.0
Ivan_Demakov,2.09,101000.0
Ivan_Donald_Marić,1.98,93000.0
Ivan_Ilić_(volleyball),1.94,85000.0
Ivan_Ječmenica,2.02,90000.0
Ivan_Kolchagov,2.05,98000.0
Ivan_Kolev_(volleyball),2.0,92000.0
Ivan_Latunov,2.01,90000.0
Ivan_Miljković,2.06,88000.0
Ivan_Rašovic,1.9,91000.0
Ivan_Stanev_(volleyball),1.9,86000.0
Ivan_Zarev,1.99,87000.0
Ivan_Zaytsev_(volleyball),2.02,92000.0
Ivan_Čosić,2.02,96000.0
Ivana_Isailović,1.85,66000.0
