Name,Height,Weight,BirthDate
Iacopo_Botto,1.91,76000.0,1987-09-22
Ian_Taylor_(volleyball),1.95,95000.0,1977-10-03
Ibrahim_Mohammed,2.07,90000.0,1985-08-15
Ibrahim_Sayed_Abouhamoud,1.78,60000.0,1985-01-01
Idner_Martins,1.95,85000.0,1978-12-19
Ignacio_Batallan,1.93,97000.0,1984-04-29
Ignacio_Bernasconi,1.95,75000.0,1985-09-23
Ignacio_Ramírez_(volleyball),1.83,85000.0,1976-09-17
Ignacio_Sánchez,1.91,76000.0,1991-02-24
Igor_Kobzar,1.98,86000.0,1991-04-13
Igor_Naumov,2.0,94000.0,1967-04-28
Igor_Omrčen,2.08,95000.0,1980-09-26
Igor_Rehák,2.0,85000.0,1989-03-31
Igor_Stejskal,1.97,88000.0,1968-10-14
Igor_Yudin,1.98,88000.0,1987-06-17
Ihosvany_Chambers,1.84,85000.0,1972-03-26
Ihosvany_Hernández,2.06,90000.0,1972-08-06
Ikumi_Narita,1.73,68000.0,1976-01-01
Ildar_Gafarov,1.95,90000.0,1972-04-02
Ilia_Vlasov,2.12,98000.0,1995-08-03
Ilia_Žilin,1.96,80000.0,1985-05-10
Ilka_Semmler,1.83,70000.0,1985-09-08
Ilka_Van_de_Vyver,1.79,73000.0,1993-01-26
Ilkka_Sammelvuo,1.97,91000.0,1979-01-21
Ilyas_Kurkaev,2.07,95000.0,1994-01-18
Im_Dong-kyu,1.95,83000.0,1983-06-11
Ingrid_Morales,1.7,62000.0,1975-05-29
Inna_German,1.82,75000.0,1983-01-17
Inna_Matveyeva,1.86,70000.0,1978-10-12
Inoslav_Krnić,1.9,89000.0,1979-01-14
Ioannis_Fakas,1.96,85000.0,1964-03-16
Ioannis_Kyriakidis,1.95,91000.0,1982-07-07
Ioannis_Pantakidis,1.95,80000.0,1985-02-05
Ioannis_Takouridis,1.95,80000.0,1988-05-24
Iraklis_Doriadis,1.93,93000.0,1954-05-15
Irina_Lukomskaya,1.76,66000.0,1991-03-19
Irina_Zaryazhko,1.98,75000.0,1991-10-04
Šimon_Krajčovič,2.05,94000.0,1996-06-28
Irving_Bricio,1.9,83000.0,1980-09-03
Irving_Gonzalez,1.85,90000.0,1993-01-22
Iryna_Zhukova,1.79,72000.0,1974-11-22
Isac_Santos,2.05,84000.0,1990-12-13
Ismael_Guerrero,2.04,85000.0,1988-03-15
Ismel_Ramos,1.95,78000.0,1985-04-18
Israel_Rodríguez_(volleyball),1.95,96000.0,1981-08-27
Israel_Vera,1.85,80000.0,1979-06-16
Israel_Villalpando,1.92,80000.0,1984-04-18
Issei_Maeda,1.81,71000.0,1991-09-22
Iuliia_Morozova,1.92,79000.0,1985-01-08
Ivan_Demakov,2.09,101000.0,1993-01-06
Ivan_Donald_Marić,1.98,93000.0,1974-04-07
