Name,Height,Weight,BirthDate,BirthPlace
Ignacio_Batallan,1.93,97000.0,1984-04-29,['San Fernando del Valle de Catamarca', 'Argentina']
Igor_Omrčen,2.08,95000.0,1980-09-26,['Croatia', 'Split Croatia']
Igor_Yudin,1.98,88000.0,1987-06-17,['Russia', 'Yekaterinburg']
Ihosvany_Hernández,2.06,90000.0,1972-08-06,['Havana', 'Cuba']
Ikumi_Narita,1.73,68000.0,1976-01-01,['Japan', 'Hokkaido', 'Asahikawa Hokkaido']
Ilka_Semmler,1.83,70000.0,1985-09-08,Aachen
Ingrid_Morales,1.7,62000.0,1975-05-29,['Costa Rica', 'San José Costa Rica']
Ioannis_Fakas,1.96,85000.0,1964-03-16,Ioannina
Iraklis_Doriadis,1.93,93000.0,1954-05-15,Istanbul
Irina_Zaryazhko,1.98,75000.0,1991-10-04,['Russia', 'Novosibirsk']
Irving_Bricio,1.9,83000.0,1980-09-03,['Guadalajara', 'Mexico']
Israel_Rodríguez_(volleyball),1.95,96000.0,1981-08-27,['Spain', 'Seville']
Iuliia_Morozova,1.92,79000.0,1985-01-08,['Russia', 'Chelyabinsk']
Ivan_Demakov,2.09,101000.0,1993-01-06,['Russia', 'Yoshkar-Ola']
Ivan_Ilić_(volleyball),1.94,85000.0,1976-12-19,['Serbia', 'Užice', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Serbia']
Ivan_Miljković,2.06,88000.0,1979-09-13,['Serbia', 'Niš', 'Socialist Federal Republic of Yugoslavia']
Ivan_Zaytsev_(volleyball),2.02,92000.0,1988-10-02,['Italy', 'Spoleto']
Ivana_Isailović,1.85,66000.0,1986-01-01,['Šabac', 'Socialist Federal Republic of Yugoslavia']
Iván_Castellani,1.96,82000.0,1991-01-19,['Italy', 'Padua']
Iván_Contreras,1.98,96000.0,1974-01-29,['Tampico', 'Mexico']
Iván_Márquez_(volleyball),2.05,88000.0,1981-10-04,['Venezuela', 'Caracas']
Izabela_Bełcik,1.85,65000.0,1980-11-29,['Poland', 'Malbork']
Izabela_Śliwa,1.69,61000.0,1990-12-11,['Kraków', 'Poland']
Valentin_Bratoev,2.02,92000.0,1987-10-21,['Bulgaria', 'Sofia']
Valentina_Arrighetti,1.85,73000.0,1985-01-26,['Italy', 'Genoa']
Valentina_Diouf,2.02,89000.0,1993-01-10,['Italy', 'Milan']
Valentina_Kamenyok-Vinogradova,1.7018,73936.8,1943-05-17,['Moscow', 'Russia']
Valentina_Ogienko,1.82,72000.0,['1965-05-02', '1965-05-26'],['Russia', 'Soviet Union', 'Krasnodar']
Valérie_Courtois,1.71,66000.0,1990-11-01,['Belgium', 'Bilzen']
